steamId,price,copiesSold,publisherClass,reviewScore,aiContent
730,0.0,302158048,AAA,Very Positive,
570,0.0,212896574,AAA,Very Positive,
578080,0.0,161971233,AAA,Mixed,
440,0.0,99060457,AAA,Very Positive,
1172470,0.0,67554185,AAA,Mixed,
550,9.99,63975495,AAA,Overwhelmingly Positive,
304930,0.0,59633334,Indie,Very Positive,
1782210,0.0,54807548,Hobbyist,Very Positive,
230410,0.0,52803785,AAA,Very Positive,
218620,9.99,37690350,AA,Very Positive,
105600,9.99,37324726,AA,Overwhelmingly Positive,
1085660,0.0,37259315,AAA,Very Positive,
4000,9.99,36028369,AAA,Overwhelmingly Positive,
236390,0.0,34849734,AA,Mostly Positive,
291550,0.0,33194999,AAA,Very Positive,
346110,14.99,32902264,AAA,Very Positive,
322330,14.99,32632421,AA,Overwhelmingly Positive,
359550,19.99,32262292,AAA,Very Positive,
242760,19.99,31035621,AA,Overwhelmingly Positive,
945360,4.99,30419877,AA,Very Positive,
714010,0.0,27879772,Indie,Very Positive,
252490,39.99,27838451,AA,Very Positive,
2923300,0.0,27835400,Indie,Very Positive,
292030,39.99,27598430,AAA,Overwhelmingly Positive,
438100,0.0,27420682,AA,Mostly Positive,
413150,14.99,26946359,AA,Overwhelmingly Positive,
227300,19.99,26244421,AA,Overwhelmingly Positive,
444090,0.0,25137517,AA,Very Positive,
620,9.99,24622692,AAA,Overwhelmingly Positive,
289070,59.99,23290714,AAA,Very Positive,
477160,19.99,22613462,AA,Overwhelmingly Positive,
1222670,0.0,22479749,AAA,Very Positive,
2767030,0.0,22004947,AA,Very Positive,
238960,0.0,21782608,AA,Very Positive,
1203220,0.0,21456435,AA,Mostly Positive,
381210,19.99,19927102,AA,Mostly Positive,
433850,0.0,19843562,Indie,Mixed,
1091500,59.99,19600081,AAA,Very Positive,
239140,29.99,19390027,AA,Overwhelmingly Positive,
1174180,59.99,19044603,AAA,Very Positive,
489830,39.99,18009508,AAA,Very Positive,
1245620,59.99,18004900,AAA,Very Positive,
648800,19.99,17854078,AA,Very Positive,
255710,29.99,17781104,AAA,Very Positive,
251570,44.99,17414902,AA,Very Positive,
582010,29.99,17353610,AAA,Very Positive,
1623730,29.99,17170874,AA,Very Positive,
1966720,9.99,16810860,AA,Overwhelmingly Positive,
892970,19.99,16649244,AAA,Very Positive,
377160,19.99,16542022,AAA,Very Positive,
49520,19.99,16139604,AAA,Overwhelmingly Positive,
1238810,49.99,16067802,AAA,Mostly Positive,
108600,19.99,15997950,AA,Very Positive,
240,9.99,15468468,AAA,Overwhelmingly Positive,
400,9.99,14993412,AAA,Overwhelmingly Positive,
386360,0.0,14922472,AA,Mostly Positive,
107410,29.99,14770364,AAA,Very Positive,
2358720,59.99,14758748,AAA,Overwhelmingly Positive,
552990,0.0,14604243,AA,Mostly Positive,
10,9.99,14498409,AAA,Overwhelmingly Positive,
1086940,59.99,14240914,AAA,Overwhelmingly Positive,
700330,0.0,13743407,Hobbyist,Very Positive,
291480,0.0,13690068,AA,Mixed,
1426210,39.99,13627055,AAA,Overwhelmingly Positive,
8930,29.99,13612378,AAA,Overwhelmingly Positive,
466240,0.0,13358568,Indie,Mostly Positive,
1677740,0.0,13299382,Indie,Very Positive,
203160,14.99,13209365,AA,Overwhelmingly Positive,
2357570,0.0,13080990,AA,Mostly Negative,
444200,0.0,13024307,AA,Mostly Positive,
220,9.99,12964588,AAA,Overwhelmingly Positive,
1237970,29.99,12540342,AAA,Overwhelmingly Positive,
1240440,0.0,12300455,AAA,Mostly Positive,
1172620,39.99,12169187,AAA,Very Positive,
221100,49.99,12031432,AAA,Mostly Positive,
550650,0.0,11984477,Indie,Mostly Positive,
548430,29.99,11732908,AAA,Overwhelmingly Positive,
304050,0.0,11575920,AA,Very Positive,
204360,14.99,11352741,AA,Overwhelmingly Positive,
553850,39.99,11231839,AAA,Mostly Positive,
1238840,39.99,11156371,AAA,Very Positive,
222880,14.99,11019016,Indie,Very Positive,
632360,24.99,10615890,AA,Very Positive,
1818750,0.0,10389290,AAA,Mostly Positive,
374320,59.99,10346571,AAA,Very Positive,
3590,4.99,10322795,Indie,Overwhelmingly Positive,
367520,14.99,10319496,AA,Overwhelmingly Positive,
823130,0.0,10255349,AA,Very Positive,
397900,0.0,10218668,Indie,Mixed,
275850,59.99,10134392,AA,Very Positive,
244210,19.99,10107043,AA,Very Positive,
588430,0.0,10001371,AAA,Very Positive,
1145360,24.99,9968565,AA,Overwhelmingly Positive,
218230,0.0,9922399,Indie,Very Positive,
1794680,4.99,9891973,Indie,Overwhelmingly Positive,
380600,0.0,9873931,Indie,Very Positive,
990080,59.99,9838907,AAA,Very Positive,
1625450,0.0,9790538,Hobbyist,Very Positive,
960090,13.99,9789666,AA,Overwhelmingly Positive,
674940,4.99,9452073,AA,Very Positive,
304390,29.99,9444612,AAA,Mostly Positive,
2139460,0.0,9443018,AA,Mostly Positive,
518790,19.99,9371340,AA,Very Positive,
814380,59.99,9328006,AA,Overwhelmingly Positive,
728880,24.99,9258076,AA,Very Positive,
