iter	MultiClass
0	2.001935409
1	1.866944044
2	1.766153618
3	1.68603991
4	1.621879008
5	1.564904581
6	1.516898761
7	1.477050698
8	1.439807935
9	1.406512322
10	1.379559136
11	1.353523246
12	1.330769163
13	1.311397666
14	1.293270028
15	1.274788584
16	1.258645399
17	1.243897536
18	1.230608345
19	1.219813299
20	1.209151488
21	1.199267781
22	1.191691417
23	1.18282548
24	1.176293048
25	1.168228816
26	1.162032643
27	1.155864717
28	1.149806487
29	1.14512314
30	1.140356359
31	1.136261652
32	1.130996763
33	1.127562331
34	1.124114028
35	1.119225518
36	1.116054165
37	1.114243863
38	1.111649687
39	1.10824083
40	1.105675545
41	1.103541993
42	1.101333846
43	1.099339899
44	1.097166845
45	1.095203934
46	1.092312576
47	1.090686185
48	1.088574157
49	1.08651434
50	1.084433442
51	1.083632198
52	1.081917105
53	1.080637332
54	1.07845027
55	1.076797043
56	1.075989002
57	1.07542741
58	1.074637578
59	1.073548201
60	1.072782089
61	1.072211568
62	1.070616395
63	1.069852154
64	1.068673995
65	1.067387001
66	1.066595967
67	1.066127361
68	1.065428325
69	1.064215892
70	1.06363299
71	1.062584332
72	1.061721123
73	1.061224352
74	1.060785994
75	1.059920316
76	1.059280528
77	1.05855361
78	1.058053552
79	1.057796145
80	1.057410546
81	1.057038684
82	1.05640359
83	1.055727391
84	1.055457475
85	1.055102374
86	1.054843129
87	1.054231152
88	1.052974259
89	1.052386044
90	1.051931865
91	1.051709611
92	1.051063549
93	1.050643247
94	1.050239739
95	1.049028962
96	1.048632094
97	1.048206844
98	1.047340822
99	1.046876362
100	1.046249436
101	1.045744122
102	1.045093565
103	1.044820508
104	1.044547791
105	1.044146132
106	1.043493737
107	1.043168138
108	1.042814157
109	1.041850561
110	1.041627727
111	1.041119411
112	1.040962258
113	1.040644431
114	1.040012882
115	1.039537981
116	1.039170672
117	1.038686541
118	1.038482581
119	1.038251464
120	1.038008901
121	1.037717975
122	1.037198785
123	1.036902334
124	1.036530863
125	1.036269275
126	1.036038888
127	1.035828388
128	1.035444641
129	1.034836378
130	1.033731721
131	1.03287772
132	1.031916515
133	1.030948053
134	1.030672508
135	1.030476876
136	1.030240412
137	1.02938321
138	1.02892643
139	1.028723143
140	1.027751871
141	1.027298778
142	1.026922014
143	1.025851378
144	1.025492848
145	1.0248908
146	1.024405559
147	1.023743067
148	1.02338364
149	1.02298158
150	1.022723941
151	1.022276815
152	1.02182088
153	1.021635911
154	1.021349929
155	1.020929136
156	1.020552365
157	1.019652788
158	1.019346395
159	1.019132672
160	1.018725921
161	1.018564158
162	1.01774728
163	1.017425641
164	1.017047487
165	1.016607073
166	1.016320126
167	1.016112454
168	1.01584359
169	1.015205486
170	1.014986162
171	1.014715834
172	1.01434264
173	1.013960998
174	1.013269432
175	1.01262022
176	1.012279777
177	1.012086876
178	1.011516296
179	1.01130267
180	1.010909149
181	1.010566554
182	1.010302115
183	1.010099592
184	1.009581557
185	1.009266238
186	1.008887222
187	1.00861885
188	1.008029221
189	1.007879371
190	1.007707684
191	1.007400234
192	1.00707209
193	1.006856825
194	1.00659893
195	1.006381107
196	1.005878024
197	1.005645599
198	1.00545212
199	1.005007075
200	1.004855538
201	1.004637401
202	1.00437115
203	1.00409923
204	1.003907254
205	1.003677782
206	1.003347683
207	1.003166445
208	1.002517751
209	1.002091213
210	1.00182869
211	1.001680197
212	1.00144356
213	1.001236199
214	1.000954292
215	1.000783965
216	1.000347324
217	1.000075676
218	0.9998630403
219	0.9998605174
220	0.9998580693
221	0.999855433
222	0.999694109
223	0.999684958
224	0.9996824438
225	0.9996742777
226	0.9994103687
227	0.9991081708
228	0.9991057558
229	0.9987028879
230	0.998554528
231	0.9983740233
232	0.9979097491
233	0.9979074166
234	0.9978999638
235	0.9975519098
236	0.9973420258
237	0.9970848889
238	0.9970765553
239	0.9970690169
240	0.9970670439
241	0.997060228
242	0.9967307525
243	0.9965792067
244	0.9963880795
245	0.9957083968
246	0.9957020943
247	0.9956963336
248	0.9956944618
249	0.9955141505
250	0.9955123291
251	0.9953153609
252	0.9951304414
253	0.9949461897
254	0.9949444035
255	0.9949391191
256	0.9949374041
257	0.9949357314
258	0.9947206424
259	0.9945697104
260	0.9945685648
261	0.9943940607
262	0.9943132753
263	0.994312144
264	0.9940015548
265	0.9935549875
266	0.9935534073
267	0.9934228173
268	0.9932731749
269	0.9931279102
270	0.9931263806
271	0.9931253326
272	0.9929160622
273	0.9929150299
274	0.9926937571
275	0.992590931
276	0.9924290316
277	0.9920404369
278	0.9919107888
279	0.9916807962
280	0.9915650049
281	0.9912862972
282	0.9910718623
283	0.990984908
284	0.9909087367
285	0.9907409189
286	0.9906079858
287	0.9906053728
288	0.9905319958
289	0.9905296288
290	0.9905274645
291	0.9903432348
292	0.9902271123
293	0.990030869
294	0.9898095203
295	0.9898073702
296	0.9896757436
297	0.9894291945
298	0.9889446946
299	0.9889427467
300	0.9889409448
301	0.9889392696
302	0.9887977098
303	0.9887306163
304	0.988570692
305	0.9885690527
306	0.9884387648
307	0.9884372236
308	0.9884357776
309	0.9883156315
310	0.988314243
311	0.9881203381
312	0.987964422
313	0.9874485906
314	0.9872377944
315	0.9870914783
316	0.9867102195
317	0.9863299758
318	0.985957486
319	0.9859561049
320	0.9859440703
321	0.9856017885
322	0.9855902259
323	0.9854313654
324	0.985421026
325	0.9851205959
326	0.9850026729
327	0.9849810282
328	0.9846479506
329	0.9845559937
330	0.9845433417
331	0.9842718789
332	0.9841558673
333	0.9839595253
334	0.9839508986
335	0.9839430953
336	0.9836900492
337	0.9836817058
338	0.9835825197
339	0.9833944009
340	0.9830462378
341	0.9829113158
342	0.98289747
343	0.9828297638
344	0.9828121336
345	0.9826786883
346	0.9826775905
347	0.9826698388
348	0.9825320729
349	0.9825242625
350	0.9822497474
351	0.9821185192
352	0.9821079453
353	0.9819618445
354	0.9818193591
355	0.981629338
356	0.9814819217
357	0.981364867
358	0.9813472627
359	0.9811215517
360	0.9810265387
361	0.9808520504
362	0.9807256952
363	0.9807047953
364	0.9806915821
365	0.9805577355
366	0.9805153581
367	0.9801024232
368	0.9800947789
369	0.9798153244
370	0.9796753786
371	0.9796744893
372	0.9795293381
373	0.9790784754
374	0.9790610503
375	0.9789372131
376	0.9787922947
377	0.9785593578
378	0.9784806108
379	0.9782896234
380	0.9780937793
381	0.9778434377
382	0.9775949149
383	0.9774649579
384	0.9773003797
385	0.9771171487
386	0.9770178156
387	0.976958543
388	0.9768094714
389	0.9767288781
390	0.9765095486
391	0.976368553
392	0.9762503317
393	0.9761064517
394	0.9759754946
395	0.9758441596
396	0.9757162788
397	0.9756059854
398	0.975476445
399	0.9752633992
400	0.9751137125
401	0.9749346672
402	0.9748519527
403	0.9746851206
404	0.9745166737
405	0.9744200857
406	0.9742901091
407	0.9741962338
408	0.9740159531
409	0.9739488656
410	0.9738262408
411	0.9737753251
