iter	Passed	Remaining
0	4	464
1	9	451
2	13	440
3	18	433
4	22	424
5	26	415
6	31	413
7	36	415
8	40	409
9	45	406
10	48	396
11	53	392
12	58	390
13	63	387
14	67	380
15	71	374
16	75	366
17	79	360
18	82	353
19	86	346
20	90	340
21	95	336
22	99	331
23	103	326
24	107	322
25	111	316
26	115	310
27	118	305
28	123	302
29	127	297
30	131	293
31	136	289
32	140	286
33	144	280
34	148	275
35	152	270
36	155	265
37	160	262
38	164	257
39	168	252
40	173	249
41	177	244
42	181	240
43	186	237
44	191	234
45	195	229
46	200	226
47	205	222
48	209	218
49	213	213
50	218	210
51	223	205
52	227	201
53	232	197
54	236	193
55	240	189
56	244	184
57	248	180
58	252	175
59	257	171
60	261	166
61	266	163
62	270	158
63	273	154
64	278	149
65	282	145
66	287	141
67	292	137
68	296	133
69	300	128
70	304	124
71	308	120
72	313	115
73	317	111
74	322	107
75	326	103
76	331	99
77	336	94
78	340	90
79	344	86
80	348	81
81	353	77
82	358	73
83	363	69
84	367	64
85	372	60
86	376	56
87	380	51
88	385	47
89	389	43
90	394	38
91	399	34
92	404	30
93	407	26
94	412	21
95	416	17
96	422	13
97	426	8
98	430	4
99	435	0
